"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q43_First.Click","Q43_Last.Click","Q43_Page.Submit","Q43_Click.Count","Q60_First.Click","Q60_Last.Click","Q60_Page.Submit","Q60_Click.Count","Q83_First.Click","Q83_Last.Click","Q83_Page.Submit","Q83_Click.Count","sex","age","race","educ","employ","income","politic1","politic2_1","Vax1_Vax1_1","Vax1_Vax1_2","Vax1_Vax1_3","Vax1_Vax1_4","Vax1_Vax1_5","Vax1_Vax1_6","Vax1_Vax1_check","Vax1_Vax1_33","Vax1_Vax1_34","Vax1_Vax1_35","Vax1_Vax1_36","Euth1_Euthanasia_1","Euth1_Euthanasia_2","Euth1_Euthanasia_3","Euth1_Euthanasia_4","Euth1_Euthanasia_5","Euth1_Euthanasia_check","Consq_Consequ2R_1","Consq_Consequ2R_2","Consq_Consequ2R_3","Consq_Consequ2R_4","Consq_Consequ2R_5","Consq_Consequ2R_check","Abortion_Abortion2R_1","Abortion_Abortion2R_2","Abortion_Abortion2R_3","Abortion_Abortion2R_4","Abortion_Abortion2R_5","Abortion_Abortion2R_check","SC0","SC1","SC2","SC3","SC4","workerId","assignmentId","hitId","study_time","payment","eligible"
"1","Start Date","End Date","Response Type","07ceb499159bef0b","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please indicate your gender","Please enter your age","What is your race or ethnicity?","What is the highest level of education or degree that you have attained?","In addition to completing HITs on Mechanical Turk, are you employed?","What is your annual household income?","Which political party do your own beliefs most closely resemble?","How would you describe your political beliefs?    



Please use the slider below to indicate where your political beliefs fall between liberal and conservative. - Political Beliefs","Please rate how strongly you agree or disagree with the following statements: - The risk of side effects outweighs any protective benefits of vaccines.","Please rate how strongly you agree or disagree with the following statements: - Vaccinating healthy children helps protect others by stopping the spread of disease.","Please rate how strongly you agree or disagree with the following statements: - I plan to vaccinate my children.","Please rate how strongly you agree or disagree with the following statements: - Children do not need vaccines for diseases that are not common anymore.","Please rate how strongly you agree or disagree with the following statements: - Doctors would not recommend vaccines if they were unsafe.","Please rate how strongly you agree or disagree with the following statements: - Some vaccines cause autism in healthy children.","Please rate how strongly you agree or disagree with the following statements: - On this question select agree.","Please rate how strongly you agree or disagree with the following statements: - If I had a young baby I would have him or her vaccinated.","Please rate how strongly you agree or disagree with the following statements: - If I had a baby, I would opt to spread out his or her vaccinations, rather than following the traditional schedule.","Please rate how strongly you agree or disagree with the following statements: - I feel confident that vaccinating children in the right thing to do.","Please rate how strongly you agree or disagree with the following statements: - I would never vaccinate my child.","Please rate how strongly you agree or disagree with the following statements: - Terminally-ill people who are suffering should have the right to choose to die.","Please rate how strongly you agree or disagree with the following statements: - People should not be allowed to kill themselves, even when they are in a lot of pain.","Please rate how strongly you agree or disagree with the following statements: - Suffering at the end of life can be worse than death.","Please rate how strongly you agree or disagree with the following statements: - Even if a patient wishes to die, doctors have an obligation to perform life-saving procedures.","Please rate how strongly you agree or disagree with the following statements: - There are some contexts in which euthanasia should be legal.","Please rate how strongly you agree or disagree with the following statements: - For this question please choose somewhat agree.","Please rate how strongly you agree or disagree with the following statements: - In life or death situations, one should take whatever means necessary to save the most lives","Please rate how strongly you agree or disagree with the following statements: - Lying is always wrong","Please rate how strongly you agree or disagree with the following statements: - The end result is the most important thing to consider when judging someone's actions","Please rate how strongly you agree or disagree with the following statements: - It is never acceptable to harm someone, even if doing so would help many other people.","Please rate how strongly you agree or disagree with the following statements: - People have an obligation to act in service of the greater good, even if that means hurting someone else.","Please rate how strongly you agree or disagree with the following statements: - Please select disagree for this question","Please rate how strongly you agree or disagree with the following statements: - A pregnant woman has an obligation to bring her fetus to term.","Please rate how strongly you agree or disagree with the following statements: - Abortion should be illegal.","Please rate how strongly you agree or disagree with the following statements: - An unborn child’s right to life is more important than a pregnant woman’s right to make decisions about her body.","Please rate how strongly you agree or disagree with the following statements: - A pregnant woman should always have the right to choose whether to continue her pregnancy.","Please rate how strongly you agree or disagree with the following statements: - It is morally acceptable to terminate a pregnancy even if the mother’s life is not in danger.","Please rate how strongly you agree or disagree with the following statements: - For this question select somewhat disagree.","pre_vacc","checks","pre_consequ","pre_abort","pre_euth","b953548792ca98d5","assignmentId","hitId","study_time","payment","eligible"
"2","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","c91890b20bf88706","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID43_FIRST_CLICK""}","{""ImportId"":""QID43_LAST_CLICK""}","{""ImportId"":""QID43_PAGE_SUBMIT""}","{""ImportId"":""QID43_CLICK_COUNT""}","{""ImportId"":""QID60_FIRST_CLICK""}","{""ImportId"":""QID60_LAST_CLICK""}","{""ImportId"":""QID60_PAGE_SUBMIT""}","{""ImportId"":""QID60_CLICK_COUNT""}","{""ImportId"":""QID174_FIRST_CLICK""}","{""ImportId"":""QID174_LAST_CLICK""}","{""ImportId"":""QID174_PAGE_SUBMIT""}","{""ImportId"":""QID174_CLICK_COUNT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID142""}","{""ImportId"":""QID143""}","{""ImportId"":""QID155""}","{""ImportId"":""QID154""}","{""ImportId"":""QID185""}","{""ImportId"":""QID180_1""}","{""ImportId"":""QID81_27""}","{""ImportId"":""QID81_2""}","{""ImportId"":""QID81_28""}","{""ImportId"":""QID81_23""}","{""ImportId"":""QID81_25""}","{""ImportId"":""QID81_31""}","{""ImportId"":""QID81_32""}","{""ImportId"":""QID81_33""}","{""ImportId"":""QID81_34""}","{""ImportId"":""QID81_35""}","{""ImportId"":""QID81_36""}","{""ImportId"":""QID84_22""}","{""ImportId"":""QID84_2""}","{""ImportId"":""QID84_23""}","{""ImportId"":""QID84_4""}","{""ImportId"":""QID84_5""}","{""ImportId"":""QID84_26""}","{""ImportId"":""QID178_17""}","{""ImportId"":""QID178_2""}","{""ImportId"":""QID178_3""}","{""ImportId"":""QID178_4""}","{""ImportId"":""QID178_22""}","{""ImportId"":""QID178_23""}","{""ImportId"":""QID179_17""}","{""ImportId"":""QID179_22""}","{""ImportId"":""QID179_3""}","{""ImportId"":""QID179_5""}","{""ImportId"":""QID179_4""}","{""ImportId"":""QID179_26""}","{""ImportId"":""SC_cx21WnKV4XJE6a1""}","{""ImportId"":""SC_d1nYtwixr4xwcWF""}","{""ImportId"":""SC_6fhaDDCYSerKT9H""}","{""ImportId"":""SC_251xLmoEroRdX2B""}","{""ImportId"":""SC_9RIS4b7m8EgTtTD""}","1e4c866bda044438","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""study_time""}","{""ImportId"":""payment""}","{""ImportId"":""eligible""}"
"3","2018-03-19 18:45:44","2018-03-19 18:47:58","1","650b30154cd11d1d","100","133","1","2018-03-19 18:47:58","R_3JKIlaFd8evoMx0","","","","","37.462493896484","-122.24050140381","preview","EN","0","0","5.744","0","0","0","8.948","0","0","0","12.904","0","2","30","1","5","6","0","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","650b30154cd11d1d","","","3","$0.40","false"
"4","2018-03-20 18:17:19","2018-03-20 18:20:25","1","650b30154cd11d1d","100","186","1","2018-03-20 18:20:26","R_1ez9GukJb5WRfRl","","","","","37.533096313477","-122.24710083008","preview","EN","3.516","4.789","6.504","2","6.476","7.891","8.357","2","14.005","14.005","17.977","1","1","99","8","1","5","1","3","65","5","5","5","5","5","5","5","","","","","6","6","6","6","6","4","5","5","5","5","5","2","2","2","2","2","2","3","19","4","19","16","20","650b30154cd11d1d","","","3","$0.40","true"
"5","2018-03-21 09:52:12","2018-03-21 09:53:41","1","650b30154cd11d1d","100","88","1","2018-03-21 09:53:42","R_Xk4hbpQSD7L1nKp","","","","","37.533096313477","-122.24710083008","preview","EN","1.792","1.792","8.619","1","0","0","8.283","0","1.99","5.246","9.008","12","4","99","3","1","6","2","13","74","5","5","5","5","5","5","5","","","","","2","2","2","2","2","2","5","5","5","5","5","5","5","5","5","5","5","5","19","1","19","19","16","650b30154cd11d1d","","","3","$0.40","false"
"6","2018-03-21 12:27:12","2018-03-21 12:29:53","1","650b30154cd11d1d","100","161","1","2018-03-21 12:29:54","R_2DTgRTWObNidQJR","","","","","37.41780090332","-122.17199707031","preview","EN","0.663","0.663","4.129","1","0","0","7.065","0","0","0","8.748","0","1","30","1","2","6","6","12","74","2","5","5","2","5","1","5","6","3","6","1","5","1","4","5","5","4","4","3","5","1","3","2","1","1","2","5","6","3","25","4","22","7","22","650b30154cd11d1d","","","3","$0.40","true"
"7","2018-03-21 12:35:20","2018-03-21 12:37:08","0","79cbd463d0d6c4fe","100","108","1","2018-03-21 12:37:09","R_BV1X7d8cPxIr8YN","","","","","41.304504394531","-75.758003234863","anonymous","EN","0","0","5.014","0","0.298","0.298","5.86","1","6.104","6.104","6.73","1","1","19","1","3","1","2","9","0","4","2","1","3","3","3","5","3","3","2","4","2","4","3","3","4","4","5","4","4","3","5","2","1","1","1","4","6","3","13","4","21","7","16","01a3804c7013b3a5","3Z9WI9EOZZOYFMN6W451VJPB9A2KHR","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"8","2018-03-21 12:35:28","2018-03-21 12:37:21","0","f843d028eb2821b2","100","112","1","2018-03-21 12:37:21","R_XogsPI39ItUcQ2l","","","","","36.85710144043","-75.989501953125","anonymous","EN","0","0","4.348","0","0","0","5.79","0","0","0","6.219","0","2","24","5","6","1","6","2","20","2","6","6","1","5","1","5","6","1","6","1","5","3","4","4","5","4","5","4","4","3","4","2","4","2","2","6","5","3","28","4","20","11","21","d593a7588fa29cac","3N4BPTXIO8S3K8TQW3C0EYE13I4UK2","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"9","2018-03-21 12:35:19","2018-03-21 12:37:21","0","7bdf6b4e063ca3c3","100","121","1","2018-03-21 12:37:21","R_3NRswyVGL7027mA","","","","","51.062103271484","-114.11589813232","anonymous","EN","0","0","3.715","0","0","0","5.654","0","0","0","12.069","0","2","33","1","6","1","4","9","9","6","6","6","1","3","1","5","6","5","6","1","5","2","5","2","5","4","4","2","2","5","1","2","1","1","1","6","6","3","22","4","14","5","25","ed3a0255cad2cc50","3RWE2M8QWHAOCS2DV9QWHJ7YHO5N0X","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
"10","2018-03-21 12:35:52","2018-03-21 12:37:42","0","b550943f58d7695d","100","110","1","2018-03-21 12:37:42","R_9XM4stOJkiVtnJT","","","","","49.215103149414","-123.13960266113","anonymous","EN","0","0","3.986","0","3.667","3.667","7.355","1","0","0","7.503","0","1","28","1","6","1","5","1","75","4","4","6","3","4","3","5","4","4","4","1","4","4","5","4","4","4","4","4","4","4","4","2","3","1","4","4","4","3","21","4","18","14","19","4e41a2b1058ca97c","3CPLWGV3MOZ68MQQV59PAU8RKSZN99","3M4KL7H8KVNDQCJ9293D5T9ZPAF61Q","3","$0.40","true"
