"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q43_First.Click","Q43_Last.Click","Q43_Page.Submit","Q43_Click.Count","Q60_First.Click","Q60_Last.Click","Q60_Page.Submit","Q60_Click.Count","timing_First.Click","timing_Last.Click","timing_Page.Submit","timing_Click.Count","timing_First.Click.1","timing_Last.Click.1","timing_Page.Submit.1","timing_Click.Count.1","timing_First.Click.2","timing_Last.Click.2","timing_Page.Submit.2","timing_Click.Count.2","timing_First.Click.3","timing_Last.Click.3","timing_Page.Submit.3","timing_Click.Count.3","timing_First.Click.4","timing_Last.Click.4","timing_Page.Submit.4","timing_Click.Count.4","bird_t_First.Click","bird_t_Last.Click","bird_t_Page.Submit","bird_t_Click.Count","aut_t_First.Click","aut_t_Last.Click","aut_t_Page.Submit","aut_t_Click.Count","vax2_Vax1_1","vax2_Vax1_2","vax2_Vax1_3","vax2_Vax1_4","vax2_Vax1_5","vax2_Vax1_6","vax2_Vax1_check","vax2_Vax1_33","vax2_Vax1_34","vax2_Vax1_35","vax2_Vax1_36","conseq2R_Consequ2R_1","conseq2R_Consequ2R_2","conseq2R_Consequ2R_3","conseq2R_Consequ2R_4","conseq2R_Consequ2R_5","conseq2R_Consequ2R_check","Euth2R_Euthanasia2R_1","Euth2R_Euthanasia2R_2","Euth2R_Euthanasia2R_3","Euth2R_Euthanasia2R_4","Euth2R_Euthanasia2R_5","Euth2R_Euthanasia2R_check","Abort2R_Abortion2R_1","Abort2R_Abortion2R_2","Abort2R_Abortion2R_3","Abort2R_Abortion2R_4","Abort2R_Abortion2R_5","Abort2R_Abortion2R_check","parent","num_child","oldest","youngest","hope_par","flu","flu2","flu3","flu4","delay","refuse","exemption","Attention","Any.commen","SC1","SC2","SC3","SC4","workerId","assignmentId","hitId","study_time","payment","condition"
"1","Start Date","End Date","Response Type","07ceb499159bef0b","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference",NA,NA,"Distribution Channel","User Language","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please rate how strongly you agree or disagree with the following statements: - The risk of side effects outweighs any protective benefits of vaccines.","Please rate how strongly you agree or disagree with the following statements: - Vaccinating healthy children helps protect others by stopping the spread of disease.","Please rate how strongly you agree or disagree with the following statements: - I plan to vaccinate my children.","Please rate how strongly you agree or disagree with the following statements: - Children do not need vaccines for diseases that are not common anymore.","Please rate how strongly you agree or disagree with the following statements: - Doctors would not recommend vaccines if they were unsafe.","Please rate how strongly you agree or disagree with the following statements: - Some vaccines cause autism in healthy children.","Please rate how strongly you agree or disagree with the following statements: - On this question select agree.","Please rate how strongly you agree or disagree with the following statements: - If I had a young baby I would have him or her vaccinated.","Please rate how strongly you agree or disagree with the following statements: - If I had a baby, I would opt to spread out his or her vaccinations, rather than following the traditional schedule.","Please rate how strongly you agree or disagree with the following statements: - I feel confident that vaccinating children in the right thing to do.","Please rate how strongly you agree or disagree with the following statements: - I would never vaccinate my child.","Please rate how strongly you agree or disagree with the following statements: - In life or death situations, one should take whatever means necessary to save the most lives","Please rate how strongly you agree or disagree with the following statements: - Lying is always wrong","Please rate how strongly you agree or disagree with the following statements: - The end result is the most important thing to consider when judging someone's actions","Please rate how strongly you agree or disagree with the following statements: - It is never acceptable to harm someone, even if doing so would help many other people.","Please rate how strongly you agree or disagree with the following statements: - People have an obligation to act in service of the greater good, even if that means hurting someone else.","Please rate how strongly you agree or disagree with the following statements: - Please select disagree for this question","Please rate how strongly you agree or disagree with the following statements: - Terminally-ill people who are suffering should have the right to choose to die.","Please rate how strongly you agree or disagree with the following statements: - People should not be allowed to kill themselves, even when they are in a lot of pain.","Please rate how strongly you agree or disagree with the following statements: - Suffering at the end of life can be worse than death.","Please rate how strongly you agree or disagree with the following statements: - Even if a patient wishes to die, doctors have an obligation to perform life-saving procedures.","Please rate how strongly you agree or disagree with the following statements: - There are some contexts in which euthanasia should be legal.","Please rate how strongly you agree or disagree with the following statements: - For this question please choose agree.","Please rate how strongly you agree or disagree with the following statements: - A pregnant woman has an obligation to bring her fetus to term.","Please rate how strongly you agree or disagree with the following statements: - Abortion should be illegal.","Please rate how strongly you agree or disagree with the following statements: - An unborn child’s right to life is more important than a pregnant woman’s right to make decisions about her body.","Please rate how strongly you agree or disagree with the following statements: - A pregnant woman should always have the right to choose whether to continue her pregnancy.","Please rate how strongly you agree or disagree with the following statements: - It is morally acceptable to terminate a pregnancy even if the mother’s life is not in danger.","Please rate how strongly you agree or disagree with the following statements: - For this question select somewhat disagree.","Are you a parent?","How many children do you have?","How old is your oldest child?","How old is your youngest child? If you only have one child you may leave this blank.","Do you plan or hope to be a parent someday?","Have you had a flu shot this flu season?","Do you expect to get a flu shot next flu season?","Have any of your children had a flu shot this flu season?","Do you expect that any of your children will get a flu shot next flu season?","Have you ever chosen to delay or to spread out your child’s vaccinations instead of following the schedule recommended by your child's doctor?","Have you ever refused or decided to skip a vaccine the doctor recommended for your child?","Have you ever obtained a exemption for your child to attend school without required vaccinations?","Please be honest when answering the following question. Your answer will not affect your payment or eligibility for future studies.

  
The study you have just participated in is a psychological study aimed at understanding human cognition and behavior. Psychological research depends on participants like you. Your responses to surveys like this one are an incredibly valuable source of data for researchers. It is therefore crucial for research that participants pay attention, avoid distractions, and take all study tasks seriously (even when they might seem silly). 
Do you feel that you paid attention, avoided distractions, and took this survey seriously?","Thank you for your participation. Do you have any final thoughts you want to let us know about the study you just completed?","checks","post_consequ","post_abort","post_euth","b953548792ca98d5","assignmentId","hitId","study_time","payment","condition"
"2","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","c91890b20bf88706","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",NA,NA,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID43_FIRST_CLICK""}","{""ImportId"":""QID43_LAST_CLICK""}","{""ImportId"":""QID43_PAGE_SUBMIT""}","{""ImportId"":""QID43_CLICK_COUNT""}","{""ImportId"":""QID60_FIRST_CLICK""}","{""ImportId"":""QID60_LAST_CLICK""}","{""ImportId"":""QID60_PAGE_SUBMIT""}","{""ImportId"":""QID60_CLICK_COUNT""}","{""ImportId"":""QID183_FIRST_CLICK""}","{""ImportId"":""QID183_LAST_CLICK""}","{""ImportId"":""QID183_PAGE_SUBMIT""}","{""ImportId"":""QID183_CLICK_COUNT""}","{""ImportId"":""QID184_FIRST_CLICK""}","{""ImportId"":""QID184_LAST_CLICK""}","{""ImportId"":""QID184_PAGE_SUBMIT""}","{""ImportId"":""QID184_CLICK_COUNT""}","{""ImportId"":""QID185_FIRST_CLICK""}","{""ImportId"":""QID185_LAST_CLICK""}","{""ImportId"":""QID185_PAGE_SUBMIT""}","{""ImportId"":""QID185_CLICK_COUNT""}","{""ImportId"":""QID186_FIRST_CLICK""}","{""ImportId"":""QID186_LAST_CLICK""}","{""ImportId"":""QID186_PAGE_SUBMIT""}","{""ImportId"":""QID186_CLICK_COUNT""}","{""ImportId"":""QID187_FIRST_CLICK""}","{""ImportId"":""QID187_LAST_CLICK""}","{""ImportId"":""QID187_PAGE_SUBMIT""}","{""ImportId"":""QID187_CLICK_COUNT""}","{""ImportId"":""QID190_FIRST_CLICK""}","{""ImportId"":""QID190_LAST_CLICK""}","{""ImportId"":""QID190_PAGE_SUBMIT""}","{""ImportId"":""QID190_CLICK_COUNT""}","{""ImportId"":""QID191_FIRST_CLICK""}","{""ImportId"":""QID191_LAST_CLICK""}","{""ImportId"":""QID191_PAGE_SUBMIT""}","{""ImportId"":""QID191_CLICK_COUNT""}","{""ImportId"":""QID195_27""}","{""ImportId"":""QID195_2""}","{""ImportId"":""QID195_28""}","{""ImportId"":""QID195_23""}","{""ImportId"":""QID195_25""}","{""ImportId"":""QID195_31""}","{""ImportId"":""QID195_32""}","{""ImportId"":""QID195_33""}","{""ImportId"":""QID195_34""}","{""ImportId"":""QID195_35""}","{""ImportId"":""QID195_36""}","{""ImportId"":""QID164_17""}","{""ImportId"":""QID164_2""}","{""ImportId"":""QID164_3""}","{""ImportId"":""QID164_4""}","{""ImportId"":""QID164_22""}","{""ImportId"":""QID164_23""}","{""ImportId"":""QID168_22""}","{""ImportId"":""QID168_2""}","{""ImportId"":""QID168_23""}","{""ImportId"":""QID168_4""}","{""ImportId"":""QID168_5""}","{""ImportId"":""QID168_26""}","{""ImportId"":""QID169_17""}","{""ImportId"":""QID169_22""}","{""ImportId"":""QID169_3""}","{""ImportId"":""QID169_5""}","{""ImportId"":""QID169_4""}","{""ImportId"":""QID169_26""}","{""ImportId"":""QID129""}","{""ImportId"":""QID131""}","{""ImportId"":""QID132_TEXT""}","{""ImportId"":""QID133_TEXT""}","{""ImportId"":""QID135""}","{""ImportId"":""QID136""}","{""ImportId"":""QID137""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139""}","{""ImportId"":""QID193""}","{""ImportId"":""QID134""}","{""ImportId"":""QID194""}","{""ImportId"":""QID126""}","{""ImportId"":""QID127_TEXT""}","{""ImportId"":""SC_d1nYtwixr4xwcWF""}","{""ImportId"":""SC_78UWrUui2tFXvJX""}","{""ImportId"":""SC_6mVcqNzPusXuP8V""}","{""ImportId"":""SC_71GoNgMIEtHAHiZ""}","1e4c866bda044438","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""study_time""}","{""ImportId"":""payment""}","{""ImportId"":""condition""}"
"3","2018-03-20 18:21:39","2018-03-20 18:31:05","1","650b30154cd11d1d","100","566","1","2018-03-20 18:31:06","R_d0ejczeg8PM9DLb","","","","",37.53,-122.25,"preview","EN","1.915","5.098","6.645","5","0","0","17.577","0","1.31","4.219","9.456","3","10.346","12.081","12.467","2","0.691","0.691","3.871","1","4.169","15.756","16.927","9","0.984","10.339","361.527","10","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","2","12","2","","0","1","1","0","0","0","1","0","experimenter","1","19","19","19","650b30154cd11d1d","","","8","$1.10","cdc_danger"
"4","2018-03-21 09:27:43","2018-03-21 09:29:19","1","650b30154cd11d1d","100","96","1","2018-03-21 09:29:21","R_2YP3WhzaSGemtNT","","","","",37.53,-122.25,"preview","EN","1.894","1.894","14.275","1","0","0","3.192","0","","","","","","","","","","","","","","","","","","","","","0","0","20.883","0","","","","","","","","","","","","","","","","3","5","4","4","3","4","5","5","5","5","5","5","3","2","4","3","2","5","0","","","","3","0","1","","","","","","0","experimenter","1","15","18","19","650b30154cd11d1d","","","8","$1.10","bird"
"5","2018-03-22 09:19:22","2018-03-22 09:21:46","1","650b30154cd11d1d","100","144","1","2018-03-22 09:21:47","R_3GebhL1NM1YdNPr","","","","",37.53,-122.25,"preview","EN","5.592","5.592","7.465","1","0","0","3.135","0","9.66","9.66","10.875","1","0","0","5.743","0","0","0","4.405","0","16.211","16.211","19.153","1","0","0","8.525","0","","","","","","","","","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","2","2","2","2","2","2","1","2","99","1","","0","1","0","1","1","0","0","0","I'm an experimenter","1","16","16","15","650b30154cd11d1d","","","8","$1.10","cdc_danger"
"6","2018-03-22 09:25:46","2018-03-22 09:28:16","0","79829258009296b1","100","149","1","2018-03-22 09:28:17","R_1LNKjTtnNj2ypze","","","","",41.97,-80.31,"anonymous","EN","9.209","9.209","9.64","1","0","0","4.869","0","","","","","","","","","","","","","","","","","","","","","0","0","33.086","0","","","","","1","6","6","1","6","1","5","6","1","6","1","4","3","2","4","4","2","5","2","5","3","5","5","1","1","1","6","6","3","0","","","","3","1","1","","","","","","1","","4","17","5","24","60086d10d1bbdf91","351SEKWQS0HCTUI7VKZRJB2H6UFMDE","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"7","2018-03-22 09:26:20","2018-03-22 09:29:46","0","b65bcae613c3992b","100","205","1","2018-03-22 09:29:46","R_qykTEWdje8lBzfb","","","","",41.19,-73.83,"anonymous","EN","0","0","9.93","0","0","0","4.541","0","","","","","","","","","","","","","","","","","","","","","","","","","26.962","26.962","29.449","1","2","6","6","2","5","2","5","6","3","6","1","4","2","2","3","4","2","5","3","4","4","5","5","3","3","3","4","4","3","0","","","","3","1","1","","","","","","1","I thought it went well","4","19","15","21","a9b8d9adebb5641f","3IXQG4FA2TY47D1TSF4GJZ8X3BX9BY","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"8","2018-03-22 09:25:35","2018-03-22 09:29:49","0","3d7acb6975df8e80","100","253","1","2018-03-22 09:29:49","R_XHOgZEy7owwYBWx","","","","",34.1,-118.41,"anonymous","EN","0","0","6.266","0","0","0","3.708","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","42.297","0","2","5","5","3","3","4","5","5","5","4","2","4","6","4","4","3","2","3","4","4","2","3","5","6","6","6","1","1","2","1","2","10","7","","0","0","1","1","0","0","0","1","","3","15","30","18","29e04d0fc5f43842","3M23Y66PO27G6GGX5UNZPERVHYB6SL","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"9","2018-03-22 09:26:24","2018-03-22 09:30:17","0","a02ddd2e3a60a6d1","100","232","1","2018-03-22 09:30:17","R_2EsdsD4fPpBKyqk","","","","",39.92,-75.42,"anonymous","EN","0","0","8.422","0","0","0","3.585","0","0","0","9.1","0","0","0","8.676","0","0","0","8.495","0","0","0","33.952","0","0","0","11.401","0","","","","","","","","","1","6","6","1","6","1","5","6","1","6","1","5","4","4","5","3","2","6","1","6","4","6","5","3","1","3","6","5","3","0","","","","1","1","1","","","","","","1","","4","17","10","27","ba012f4f9f5681c5","31EUONYN2V3MNE35ZLEYH1XT11YOVU","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"10","2018-03-22 09:25:33","2018-03-22 09:31:03","0","bec047ec3e910e72","100","329","1","2018-03-22 09:31:03","R_9XrcHqy3LILzbLX","","","","",34.23,-84.18,"anonymous","EN","0","0","9.806","0","0","0","3.743","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","96.633","0","2","5","6","3","3","2","5","6","5","5","1","6","6","5","3","6","2","6","2","6","1","6","5","5","5","5","3","1","3","1","1","2","","","1","1","1","1","0","0","0","1","","4","22","25","29","4cc82e1925240b45","3SNLUL3WO4NE4EB8H3O1TYRGSPKULU","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
