"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q43_First.Click","Q43_Last.Click","Q43_Page.Submit","Q43_Click.Count","Vax3_Vax1_1","Vax3_Vax1_2","Vax3_Vax1_3","Vax3_Vax1_4","Vax3_Vax1_5","Vax3_Vax1_6","Vax3_Vax1_check","Vax3_Vax1_33","Vax3_Vax1_34","Vax3_Vax1_35","Vax3_Vax1_36","SC0","SC1","workerId","assignmentId","hitId","study_time","payment"
"1","Start Date","End Date","Response Type","07ceb499159bef0b","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","Please rate how strongly you agree or disagree with the following statements: - The risk of side effects outweighs any protective benefits of vaccines.","Please rate how strongly you agree or disagree with the following statements: - Vaccinating healthy children helps protect others by stopping the spread of disease.","Please rate how strongly you agree or disagree with the following statements: - I plan to vaccinate my children.","Please rate how strongly you agree or disagree with the following statements: - Children do not need vaccines for diseases that are not common anymore.","Please rate how strongly you agree or disagree with the following statements: - Doctors would not recommend vaccines if they were unsafe.","Please rate how strongly you agree or disagree with the following statements: - Some vaccines cause autism in healthy children.","Please rate how strongly you agree or disagree with the following statements: - On this question select agree.","Please rate how strongly you agree or disagree with the following statements: - If I had a young baby I would have him or her vaccinated.","Please rate how strongly you agree or disagree with the following statements: - If I had a baby, I would opt to spread out his or her vaccinations, rather than following the traditional schedule.","Please rate how strongly you agree or disagree with the following statements: - I feel confident that vaccinating children is the right thing to do.","Please rate how strongly you agree or disagree with the following statements: - I would never vaccinate my child.","pre_vacc","checks","b953548792ca98d5","assignmentId","hitId","study_time","payment"
"2","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","c91890b20bf88706","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID43_FIRST_CLICK""}","{""ImportId"":""QID43_LAST_CLICK""}","{""ImportId"":""QID43_PAGE_SUBMIT""}","{""ImportId"":""QID43_CLICK_COUNT""}","{""ImportId"":""QID187_27""}","{""ImportId"":""QID187_2""}","{""ImportId"":""QID187_28""}","{""ImportId"":""QID187_23""}","{""ImportId"":""QID187_25""}","{""ImportId"":""QID187_31""}","{""ImportId"":""QID187_32""}","{""ImportId"":""QID187_33""}","{""ImportId"":""QID187_34""}","{""ImportId"":""QID187_35""}","{""ImportId"":""QID187_36""}","{""ImportId"":""SC_cx21WnKV4XJE6a1""}","{""ImportId"":""SC_d1nYtwixr4xwcWF""}","1e4c866bda044438","{""ImportId"":""assignmentId""}","{""ImportId"":""hitId""}","{""ImportId"":""study_time""}","{""ImportId"":""payment""}"
"3","2018-03-28 13:37:41","2018-03-28 13:38:01","1","650b30154cd11d1d","100","20","1","2018-03-28 13:38:02","R_3iOPol7sS9Ly8Yh","","","","","37.533096313477","-122.24710083008","preview","EN","0.873","5.322","5.852","8","4","4","4","4","4","4","4","4","4","4","4","18","0","650b30154cd11d1d","","","2","$0.25"
"4","2018-03-29 07:00:42","2018-03-29 07:01:32","0","e53e8547880ab1db","100","50","1","2018-03-29 07:01:33","R_3D6LN9peBBB67wY","","","","","41.497299194336","-81.471397399902","anonymous","EN","0","0","6.317","0","2","5","5","2","4","2","5","5","3","5","2","24","1","223e79d01ca7b4f9","3AMW0RGHOD2R096XCU5MWK86QF0PNS","3UOMW19E6D61UBTTDNISUJEQYR3C59","2","$0.25"
"5","2018-03-29 07:00:37","2018-03-29 07:01:36","0","3b4053c06de1061c","100","59","1","2018-03-29 07:01:36","R_dbg9g1bAL6z55OF","","","","","47.107696533203","-123.06039428711","anonymous","EN","4.073","4.073","6.353","1","5","6","6","2","4","2","5","6","2","5","1","23","1","089ea30781a62b37","3FTF2T8WLRIWVGZ4N60C6DLIENMW9V","3UOMW19E6D61UBTTDNISUJEQYR3C59","2","$0.25"
"6","2018-03-29 07:00:42","2018-03-29 07:01:38","0","5a3113b1925c3725","100","55","1","2018-03-29 07:01:38","R_V5dFh7UhoUV4HAd","","","","","41.673095703125","-123.94549560547","anonymous","EN","0","0","6.024","0","1","6","6","1","6","1","5","6","1","6","1","30","1","441b05dd784ef7b6","3VFJCI1K4ZZ62U5Q2IWGBVZOQL2RGE","3UOMW19E6D61UBTTDNISUJEQYR3C59","2","$0.25"
"7","2018-03-29 07:01:17","2018-03-29 07:02:04","0","d400a0e910597f66","100","46","1","2018-03-29 07:02:04","R_1Fm4FM6AjaeWBf1","","","","","36.726196289062","-81.019401550293","anonymous","EN","0","0","7.028","0","1","6","6","3","5","2","5","5","2","5","1","27","1","4daf1bc9b7fd64e5","3QAPZX2QN4DSN6DK9QSCPV407CY208","3UOMW19E6D61UBTTDNISUJEQYR3C59","2","$0.25"
"8","2018-03-29 07:01:15","2018-03-29 07:02:09","0","804d9ba248a02002","100","54","1","2018-03-29 07:02:09","R_1LSiWyJg8q2XoW1","","","","","27.910705566406","-80.635101318359","anonymous","EN","0","0","6.247","0","4","4","3","4","4","4","5","3","6","4","3","17","1","32ada398bf44fe76","3TMSXRD2X60E6BW9JTLJR73ZGBZ1WS","3UOMW19E6D61UBTTDNISUJEQYR3C59","2","$0.25"
"9","2018-03-29 07:01:23","2018-03-29 07:02:28","0","b3368ca9937bc3dd","100","64","1","2018-03-29 07:02:28","R_29hrHSCoQmE8mon","","","","","27.258499145508","-82.514999389648","anonymous","EN","0","0","7.595","0","2","5","5","1","5","4","5","5","6","5","1","26","1","0ddb701e1cbf0fee","3W8CV64QJ2ZEYQ4FS7EC5ABVZZA9H9","3UOMW19E6D61UBTTDNISUJEQYR3C59","2","$0.25"
"10","2018-03-29 07:00:31","2018-03-29 07:02:31","0","ec4b1c534a142e1f","100","120","1","2018-03-29 07:02:31","R_1ghUAlJkvQBI95Z","","","","","44.822998046875","-93.348503112793","anonymous","EN","0","0","9.013","0","2","5","5","3","5","3","5","5","3","5","1","24","1","9de008fc41bfc722","3ZV9H2YQQD7AGEAO6XZ2F0IWEVD3WM","3UOMW19E6D61UBTTDNISUJEQYR3C59","2","$0.25"
