Day1StartTime,Day1EndTime,Sex,Age,Race,Education,Employment,PoliticalAffiliationCategorical,PoliticalAffiliationSlidingScale,Healthy_VaxscalePretest,Diseases_VaxScalePretest,Diseases_VaxScalePretest_Reversed,Doctors_VaxScalePreTest,Sideeffects_VaxScalePreTest,Sideeffects_VaccScalePreTest_Reversed,Planto_VaxScalePreTest,PreTestVaccinationAttitude,Autism_PreTest,EligibleToReturn,Returned,StartDate_day2,EndDate_day2,Condition,Condition Code,PostTest Vaccination Attitude,VaxAttitudeChangeScore,Healthy_VaxscalePosttest,Diseases_VaxScalePosttest,Diseases_VaxScalePosttest_Reversed,Doctors_VaxScalePostTest,Sideeffects_VaxScalePostTest,Sideeffects_VaxScalePostTest_Reversed,Planto_VaxScalePostTest,AutismAttitude_PostTest,AttentionCheck_PostTest (if = 4 then include),Parent,Number_of_children,Oldest_child_age,Youngest_child_age,hopeful_parent,YourFluShot,ExpectYourFluShot,ChildFluShot,ExpectYourChildFluShot,RefuseVaccination,Vaxwork,AttentionChecks_Sum(include if = 4),Paid_Attention,Excluded,preTest_Tercile,
1/12/15 10:28,1/12/15 10:35,1,20,1,5,2,1,64,2,4,3,3,4,3,2,2.6,2,1,1,1/13/15 16:30,1/13/15 16:36,Autism Correction,1,2.6,0,2,3,4,3,4,3,1,2,4,0,,,,0,0,0,,,,1,4,1,0,1,
1/12/15 9:26,1/12/15 9:30,2,29,1,6,1,1,61,3,5,2,2,4,3,3,2.6,6,1,1,1/13/15 14:58,1/13/15 15:03,Autism Correction,1,3.2,0.6,3,4,3,3,3,4,3,5,4,0,,,,0,1,1,,,,1,4,1,0,1,
1/12/15 10:27,1/12/15 10:33,1,63,1,3,1,1,80,4,3,4,4,4,3,4,3.8,5,1,1,1/13/15 14:34,1/13/15 14:39,Autism Correction,1,5.2,1.4,6,2,5,4,1,6,5,2,4,1,1,40,40,,0,0,0,0,0,1,4,1,0,1,
1/12/15 10:31,1/12/15 10:35,1,32,1,5,1,1,75,5,2,5,5,6,1,6,4.4,3,1,1,1/13/15 15:21,1/13/15 15:26,Autism Correction,1,4.6,0.2,5,2,5,5,5,2,6,1,4,1,2,10,2,,0,1,1,1,0,1,4,1,0,1,
1/12/15 10:36,1/12/15 10:44,2,58,1,3,6,1,73,5,2,5,3,2,5,5,4.6,2,1,1,1/13/15 10:36,1/13/15 10:41,Autism Correction,1,5,0.4,5,2,5,5,2,5,5,2,4,0,,,,0,0,0,,,,1,4,1,0,2,
1/12/15 10:35,1/12/15 10:40,2,57,1,4,6,1,77,6,1,6,5,3,4,6,5.4,4,1,1,1/13/15 9:32,1/13/15 9:37,Autism Correction,1,5.4,0,6,1,6,4,2,5,6,3,4,1,3,26,19,,0,0,1,1,1,1,4,1,0,2,
1/12/15 9:44,1/12/15 9:48,2,36,1,5,5,1,100,6,1,6,4,1,6,6,5.6,1,1,1,1/13/15 10:03,1/13/15 10:06,Autism Correction,1,5.6,0,6,1,6,4,1,6,6,1,4,1,2,11,6,,0,0,1,1,0,1,4,1,0,3,
1/12/15 9:42,1/12/15 9:47,2,43,1,3,5,1,53,5,1,6,6,2,5,6,5.6,2,1,1,1/13/15 10:49,1/13/15 10:56,Autism Correction,1,6,0.4,6,1,6,6,1,6,6,1,4,1,2,10,2,,0,1,1,1,0,1,4,1,0,3,
1/12/15 9:09,1/12/15 9:12,2,26,1,5,5,1,59,6,1,6,5,1,6,6,5.8,1,1,1,1/13/15 9:05,1/13/15 9:08,Autism Correction,1,5.8,0,6,1,6,5,1,6,6,1,4,0,,,,0,0,1,,,,1,4,1,0,3,
1/12/15 10:34,1/12/15 10:39,2,22,5,4,2,1,57,6,1,6,6,1,6,6,6,2,1,1,1/13/15 10:33,1/13/15 10:37,Autism Correction,1,5.8,-0.2,6,2,5,6,1,6,6,1,4,0,,,,2,1,1,,,,0,4,1,0,3,
1/12/15 10:29,1/12/15 10:35,1,33,1,4,1,2,55,3,5,2,4,5,2,5,3.2,4,1,1,1/13/15 18:06,1/13/15 18:15,Autism Correction,1,3.2,0,4,5,2,3,4,3,4,3,3,1,,2,1,,0,0,1,1,0,1,3,1,1,1,
1/12/15 9:10,1/12/15 9:15,2,37,1,4,3,2,0,5,2,5,5,2,5,5,5,2,1,1,1/13/15 9:04,1/13/15 9:08,Autism Correction,1,4.6,-0.4,5,2,5,5,5,2,6,2,4,1,1,7,,,1,1,1,1,0,1,3,1,1,2,
1/12/15 9:30,1/12/15 9:34,1,28,3,2,1,2,0,5,2,5,5,2,5,5,5,2,1,1,1/13/15 9:10,1/13/15 9:16,Autism Correction,1,5.2,0.2,5,2,5,6,2,5,5,3,4,0,,,,0,0,0,,,,1,3,1,1,2,
1/12/15 10:37,1/12/15 10:41,2,25,3,3,2,2,13,6,2,5,5,1,6,6,5.6,1,1,1,1/13/15 13:16,1/13/15 13:20,Autism Correction,1,5.4,-0.2,6,2,5,5,2,5,6,1,4,1,1,1,1,,0,0,0,0,1,1,3,1,1,3,
1/12/15 9:25,1/12/15 9:29,2,30,1,3,2,2,16,6,1,6,5,1,6,6,5.8,4,1,1,1/13/15 11:37,1/13/15 11:41,Autism Correction,1,6,0.2,6,1,6,6,1,6,6,1,3,1,1,8,8,,0,0,0,0,0,1,3,1,1,3,
1/12/15 10:03,1/12/15 10:09,1,39,1,2,1,2,19,6,1,6,6,1,6,6,6,1,1,1,1/13/15 9:26,1/13/15 9:35,Autism Correction,1,6,0,6,1,6,6,1,6,6,1,4,0,,,,3,0,1,,,,1,3,1,1,3,
1/12/15 9:29,1/12/15 9:34,2,49,1,4,3,2,0,6,1,6,6,1,6,6,6,1,1,1,1/13/15 15:10,1/13/15 15:14,Autism Correction,1,5.6,-0.4,6,1,6,4,1,6,6,1,3,0,,,,0,0,0,,,,1,3,1,1,3,
1/12/15 9:40,1/12/15 9:47,2,57,1,6,1,2,24,4,4,3,2,4,3,2,2.8,2,1,1,1/13/15 11:01,1/13/15 11:07,Autism Correction,1,3,0.2,4,3,4,2,4,3,2,2,4,0,,,,0,0,0,,,,1,4,1,0,1,
1/12/15 9:43,1/12/15 9:48,2,52,1,4,5,2,16,4,3,4,1,2,5,4,3.6,5,1,1,1/13/15 11:54,1/13/15 11:58,Autism Correction,1,3.4,-0.2,5,3,4,1,4,3,4,5,4,0,,,,0,0,0,,,,1,4,1,0,1,
1/12/15 9:31,1/12/15 9:35,2,27,2,3,1,2,26,4,2,5,3,4,3,3,3.6,3,1,1,1/13/15 10:22,1/13/15 10:28,Autism Correction,1,4.4,0.8,5,1,6,5,5,2,4,2,4,1,1,5,5,,0,0,0,0,0,1,4,1,0,1,
1/12/15 9:33,1/12/15 9:38,1,34,1,4,1,2,28,4,3,4,4,5,2,5,3.8,1,1,1,1/13/15 17:30,1/13/15 17:33,Autism Correction,1,5,1.2,5,3,4,6,2,5,5,1,4,1,1,6,6,,0,0,1,1,0,0,4,1,0,1,
1/12/15 9:59,1/12/15 10:08,2,53,1,3,3,2,23,5,4,3,4,3,4,4,4,4,1,1,1/13/15 10:39,1/13/15 10:50,Autism Correction,1,4.6,0.6,5,3,4,5,2,5,4,4,4,0,,,,1,0,1,,,,1,4,1,0,1,
1/12/15 9:17,1/12/15 9:21,2,40,1,3,5,2,50,4,3,4,4,4,3,5,4,3,1,1,1/13/15 12:13,1/13/15 12:20,Autism Correction,1,4.6,0.6,5,2,5,4,3,4,5,2,4,1,1,21,21,,0,0,0,0,0,1,4,1,0,1,
